	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.33,1578.70,23.94,94
28.33,1578.70,23.94,95
28.33,1577.68,23.94,96
28.33,1577.88,23.94,96
28.33,1578.29,23.94,97
28.33,1578.09,23.94,98
28.33,1577.88,23.94,99
28.33,1577.27,24.00,100
28.33,1579.12,23.94,101
28.33,1577.88,23.94,101
28.33,1577.88,23.94,102
28.33,1577.88,23.94,103
28.33,1578.29,23.94,104
28.33,1577.47,23.94,105
28.33,1576.65,24.00,105
28.33,1577.06,24.00,106
28.33,1577.47,24.00,107
28.33,1577.27,24.00,108
28.33,1577.06,24.00,109
28.33,1578.70,23.94,110
28.33,1577.88,23.94,110
28.33,1576.86,24.00,111
28.33,1577.88,24.00,112
28.33,1577.06,24.00,113
28.33,1578.09,23.94,114
28.33,1577.06,24.00,115
28.33,1577.88,23.94,115
28.33,1578.09,23.94,116
28.33,1578.50,23.94,117
28.33,1577.88,23.94,118
28.33,1577.47,24.00,119
28.33,1577.06,24.00,120
28.33,1576.45,24.00,120
28.33,1577.47,24.00,121
28.33,1576.04,24.00,122
28.33,1576.86,24.00,123
28.33,1576.86,24.00,124
	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.33,1577.47,23.94,0
28.33,1578.29,23.94,1
28.33,1577.88,24.00,2
28.33,1576.86,24.00,3
28.33,1577.68,24.00,4
28.33,1578.70,23.94,5
28.33,1579.12,23.94,5
28.33,1579.93,23.94,6
28.33,1579.52,23.94,7
28.33,1577.68,24.00,8
28.33,1578.91,24.00,9
28.33,1578.70,24.00,9
28.33,1578.29,24.00,10
28.33,1577.88,24.00,11
28.33,1579.52,23.94,12
28.33,1576.86,24.00,13
28.33,1577.88,24.00,14
28.33,1576.45,24.00,14
28.33,1576.45,24.00,15
	
Pascals(in/Hg),Altitude(ft),Temperature(*C),Time(s)
28.33,1577.47,23.94,0
28.33,1578.09,24.00,1
28.33,1576.45,24.00,2
28.33,1576.04,24.00,3
28.33,1578.09,24.00,4
28.33,1578.50,24.00,4
28.33,1576.45,24.06,5
28.33,1576.65,24.00,6
28.33,1577.06,24.00,7
28.33,1576.65,24.06,8
28.33,1575.83,24.06,9
28.33,1576.04,24.06,9
28.33,1577.88,24.00,10
28.33,1576.04,24.06,11
28.33,1576.86,24.06,12
28.33,1576.45,24.06,13
28.33,1577.27,24.06,14
28.33,1577.06,24.06,14
28.33,1577.47,24.00,15
28.33,1576.86,24.06,16
28.33,1576.45,24.06,17
